Nurse\Day;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1;;;;11;;;12;;;;;;11;11;12;;;11;11;;;11;11;;11;11;;;11;11;
2;;11;;11;11;;;12;12;;;;11;;;11;11;;11;;;11;;11;;;;11;;;11
3;;11;11;;;;;;;;11;;;12;;;11;11;;11;;;11;11;12;;;11;11;;11
4;11;;11;11;;11;;;;;11;11;;11;11;;11;;;;11;12;;;11;11;;;;;
5;12;;;;;;11;;;11;;11;;;;11;11;;11;11;;;11;11;;;11;;11;11;
6;;;;11;;;11;;11;11;;11;;;;;;11;11;;;11;12;;;11;12;;;11;11
7;11;;11;;;;;11;11;;;11;;;;;;;11;11;;;11;11;;11;;11;;11;11
8;11;11;12;;;11;11;;;;;11;;11;;;;;;;;11;11;;11;12;;;11;;11
9;;;11;;;;;;11;11;;11;11;;11;;;11;;12;12;;;11;;11;;;;11;11
10;11;;11;11;;;;;;11;;;11;;;;;11;;;11;;11;11;;11;11;;11;11;
11;;;11;;11;11;;11;11;;11;11;;;11;;;;;;11;;11;11;;;;12;;;11
12;;11;;;11;;;11;11;;;;11;;11;11;;11;11;;11;;;12;;;11;;;12;
13;11;12;;;;11;;;;;11;;;11;11;12;;;11;11;;11;;;11;;;;11;11;
14;11;11;;12;12;;;11;11;;11;11;;;11;11;;;;;;;;;;;11;11;;;11
15;11;11;;11;11;;11;11;;11;11;12;;;11;11;12;;;11;;;;;;;;;;;
16;11;11;;11;11;12;;;11;11;;;12;;;11;11;;;;;;;;11;11;;;;;11
17;;11;;11;11;;11;;;11;12;;;;;11;11;12;;;11;11;;;;;;11;11;;
18;;11;;;11;11;;11;;;11;11;;11;11;;11;11;12;;;;;;11;;;;;;12
19;11;;11;;11;11;;11;;12;;;;;11;;11;;11;;;11;;;11;;11;;12;;
